pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
20821;69,598397;61,171875;2,36;177;0,359311;0,312500;0,76;69;0,049676;0,031250;0,48;SAT
200;5,840386;5,453125;1,78;6;0,348209;0,203125;0,95;2;0,020225;0,015625;0,00;UNSAT
23867;80,810637;67,921875;2,17;187;0,495758;0,453125;0,66;71;0,066598;0,046875;0,50;SAT
27112;85,849172;74,562500;2,88;147;0,552743;0,515625;0,75;73;0,041124;0,031250;0,00;SAT
20743;70,480707;58,578125;2,36;175;0,260347;0,187500;0,66;76;0,040948;0,031250;0,03;SAT
24827;74,681298;64,390625;2,23;185;0,707760;0,562500;0,86;71;0,044757;0,031250;0,00;SAT
24404;81,654730;68,484375;2,09;176;0,610432;0,515625;0,29;76;0,093881;0,046875;0,99;SAT
25683;81,088568;68,843750;3,08;139;0,604379;0,484375;0,30;72;0,047062;0,031250;0,00;SAT
22850;75,016937;63,406250;1,50;173;0,626014;0,531250;0,73;73;0,053241;0,046875;0,91;SAT
23629;76,824969;65,687500;2,46;156;0,674417;0,578125;0,65;72;0,051780;0,046875;0,48;SAT
26939;80,048592;72,031250;1,99;167;0,366219;0,281250;0,60;63;0,036984;0,015625;0,02;SAT
25177;85,892935;75,062500;2,71;155;0,534596;0,515625;0,74;73;0,062497;0,031250;0,61;SAT
200;0,048262;0,015625;1,06;129;0,741273;0,515625;0,00;2;0,009596;0,000000;0,12;UNSAT
27940;81,986988;73,171875;1,76;139;0,480564;0,484375;0,51;66;0,047768;0,046875;0,00;SAT
20218;56,197029;50,906250;0,03;179;0,431421;0,406250;0,68;78;0,045938;0,046875;0,00;SAT
25396;75,012244;68,515625;0,66;165;0,489316;0,421875;0,62;69;0,061829;0,046875;0,07;SAT
25772;74,757178;67,343750;0,45;167;0,510068;0,406250;0,86;67;0,070837;0,062500;0,00;SAT
23353;67,680993;63,390625;0,00;144;0,487532;0,375000;0,61;68;0,047883;0,031250;0,00;SAT
200;2,088277;1,921875;0,00;168;0,520450;0,437500;0,63;2;0,007016;0,000000;0,00;UNSAT
21004;63,072180;56,312500;1,41;146;0,697245;0,609375;0,90;75;0,042531;0,031250;0,00;SAT
23917;70,902998;66,718750;1,13;191;0,608730;0,562500;0,56;75;0,049610;0,046875;0,26;SAT
25034;77,718676;70,812500;0,00;180;0,492963;0,468750;0,90;80;0,051371;0,046875;0,00;SAT
24205;74,596237;67,250000;0,44;159;0,626285;0,562500;0,04;75;0,046215;0,046875;0,11;SAT
21558;63,291839;57,500000;0,59;121;0,817724;0,687500;0,78;71;0,040595;0,046875;0,02;SAT
200;17,973890;16,890625;0,05;170;0,604771;0,515625;1,03;2;0,006845;0,000000;0,00;UNSAT
22993;69,968309;62,687500;0,00;176;0,604183;0,546875;0,49;76;0,043330;0,046875;0,20;SAT
26248;78,170593;71,328125;0,00;159;0,711299;0,687500;0,33;74;0,046942;0,015625;0,56;SAT
200;6,688765;5,796875;1,07;187;0,448925;0,421875;0,80;2;0,002882;0,000000;0,51;UNSAT
20614;53,432907;49,140625;0,00;185;0,912379;0,859375;0,31;75;0,061514;0,062500;0,86;SAT
25501;72,625103;66,781250;1,53;183;0,410682;0,421875;0,30;65;0,048891;0,031250;0,00;SAT
22974;71,351420;67,390625;0,43;163;0,545217;0,406250;0,65;74;0,066804;0,046875;0,00;SAT
200;0,915808;0,828125;0,00;168;0,478906;0,484375;0,82;2;0,035344;0,000000;0,52;UNSAT
200;5,606408;5,046875;0,00;155;0,586707;0,546875;0,54;2;0,004101;0,015625;0,43;UNSAT
24780;76,040432;71,703125;0,00;169;0,594059;0,453125;1,09;68;0,045106;0,046875;0,00;SAT
200;0,772097;0,640625;0,00;174;0,563513;0,546875;0,61;2;0,004596;0,015625;0,26;UNSAT
23289;69,776025;66,125000;0,00;180;0,671630;0,531250;0,54;75;0,059712;0,062500;0,00;SAT
200;49,263163;46,796875;0,00;185;0,479613;0,406250;0,71;2;0,007993;0,015625;0,50;UNSAT
200;48,939119;46,812500;0,02;157;0,448399;0,406250;0,04;2;0,004745;0,000000;0,45;UNSAT
25986;80,503754;75,000000;0,00;158;0,626652;0,593750;0,84;68;0,042939;0,046875;0,35;SAT
23831;74,729471;69,156250;0,66;163;0,563767;0,484375;0,43;65;0,047980;0,015625;0,16;SAT
200;16,758852;15,984375;0,97;12;0,360634;0,343750;0,88;2;0,018863;0,000000;0,36;UNSAT
25616;75,361099;72,031250;0,92;157;0,600679;0,484375;0,59;68;0,045614;0,046875;0,00;SAT
200;1,214146;1,046875;0,00;188;0,466584;0,453125;0,18;2;0,003273;0,000000;0,43;UNSAT
22218;63,072060;60,515625;0,00;151;0,676896;0,562500;0,00;71;0,042567;0,046875;0,04;SAT
200;0,492812;0,453125;0,00;3;0,121529;0,093750;0,86;2;0,003374;0,000000;0,51;UNSAT
200;1,740824;1,640625;0,00;3;0,112772;0,109375;0,23;2;0,008572;0,000000;0,49;UNSAT
25771;82,136272;74,609375;0,27;158;1,527997;1,406250;0,00;72;0,108453;0,109375;0,69;SAT
22156;68,085599;61,453125;0,00;174;0,712966;0,546875;0,93;75;0,049086;0,046875;0,00;SAT
200;0,401082;0,343750;0,01;182;0,463111;0,359375;0,11;2;0,010906;0,000000;0,56;UNSAT
21760;72,274405;66,296875;0,00;157;1,480799;1,281250;0,68;75;0,112606;0,109375;0,00;SAT
23757;87,588775;79,546875;0,00;186;1,621441;1,484375;0,45;76;0,135229;0,125000;0,00;SAT
21714;72,774780;64,859375;0,00;153;1,553227;1,390625;0,00;65;0,105395;0,093750;0,46;SAT
21777;73,488356;65,531250;1,56;159;1,568508;1,546875;0,62;67;0,112920;0,093750;0,14;SAT
23306;79,901202;71,625000;0,00;181;1,726311;1,500000;0,36;65;0,117305;0,109375;0,19;SAT
200;2,705529;2,359375;0,00;161;0,635272;0,531250;0,91;2;0,005983;0,000000;0,30;UNSAT
23981;87,223794;79,703125;0,84;163;2,295140;2,140625;0,33;73;0,115021;0,125000;0,27;SAT
200;1,197337;1,031250;0,00;142;0,398649;0,390625;0,82;2;0,005311;0,000000;0,50;UNSAT
23430;94,345048;85,359375;0,00;161;1,430232;1,187500;0,02;72;0,118419;0,093750;0,00;SAT
