pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
33394;1150,111840;1054,734375;3,30;94;0,007799;0,015625;0,00;53;0,018881;0,015625;0,20;SAT
75;0,005738;0,000000;0,55;109;0,005155;0,000000;0,00;2;0,000417;0,000000;0,00;UNSAT
22201;659,306972;611,546875;3,01;106;0,011070;0,015625;0,01;51;0,008427;0,000000;0,25;SAT
37661;1653,442044;1537,171875;3,29;97;0,013656;0,000000;0,01;58;0,012042;0,015625;0,09;SAT
26006;643,085019;595,484375;2,71;104;0,008367;0,000000;0,00;56;0,015213;0,000000;0,07;SAT
22286;630,081265;583,546875;2,59;104;0,024562;0,000000;0,00;59;0,010795;0,000000;0,30;SAT
23803;664,387010;621,421875;2,08;107;0,016398;0,000000;0,00;53;0,011374;0,015625;0,27;SAT
20614;540,017236;497,984375;3,19;106;0,016068;0,000000;0,00;52;0,017249;0,015625;0,25;SAT
75;0,018749;0,000000;0,65;97;0,005337;0,000000;0,00;2;0,002525;0,000000;0,00;UNSAT
26653;757,291805;701,546875;3,40;106;0,017313;0,000000;0,00;55;0,024601;0,015625;0,08;SAT
21414;571,576688;534,531250;3,04;104;0,008390;0,000000;0,00;52;0,016322;0,000000;0,01;SAT
35662;1396,394028;1289,359375;2,02;97;0,017096;0,000000;0,00;52;0,018296;0,000000;0,23;SAT
28142;656,811204;594,218750;3,09;97;0,006723;0,000000;0,08;54;0,015399;0,000000;0,02;SAT
22116;570,297900;529,000000;3,29;96;0,015876;0,000000;0,00;52;0,012178;0,000000;0,02;SAT
37565;1584,231730;1469,937500;3,29;109;0,019555;0,015625;0,00;52;0,023951;0,000000;0,10;SAT
30964;1014,534469;954,343750;3,07;102;0,018600;0,000000;0,00;55;0,012548;0,015625;0,25;SAT
75;0,007767;0,015625;0,62;93;0,006545;0,000000;0,00;2;0,000473;0,000000;0,01;UNSAT
75;0,009123;0,015625;0,13;95;0,005623;0,000000;0,00;2;0,001985;0,000000;0,00;UNSAT
75;0,001076;0,000000;0,00;94;0,004604;0,000000;0,00;2;0,001193;0,000000;0,00;UNSAT
75;0,009454;0,000000;0,00;92;0,005252;0,000000;0,00;2;0,000750;0,000000;0,00;UNSAT
21112;417,133913;387,953125;2,09;103;0,010171;0,015625;0,00;59;0,011691;0,000000;0,30;SAT
23379;627,488843;581,859375;1,95;97;0,030008;0,000000;0,00;52;0,005566;0,015625;0,37;SAT
75;0,030576;0,000000;0,08;96;0,010696;0,000000;0,00;2;0,018094;0,000000;0,00;UNSAT
75;0,005583;0,000000;0,00;103;0,022963;0,015625;0,00;2;0,009921;0,000000;0,00;UNSAT
44385;2123,168754;1957,484375;1,07;104;0,008692;0,000000;0,00;52;0,022431;0,015625;0,31;SAT
25754;659,616846;609,562500;1,22;108;0,012410;0,000000;0,03;56;0,015479;0,015625;0,02;SAT
75;0,016773;0,000000;0,11;102;0,049346;0,015625;0,00;2;0,012902;0,000000;0,00;UNSAT
75;0,021836;0,015625;0,11;97;0,025770;0,000000;0,00;2;0,011810;0,000000;0,00;UNSAT
10346;22,654597;19,796875;0,01;104;0,038626;0,000000;0,00;60;0,028764;0,000000;0,02;SAT
33913;1218,681142;1120,328125;1,11;98;0,013118;0,000000;0,00;52;0,024423;0,031250;0,01;SAT
75;0,011410;0,015625;0,00;91;0,028965;0,000000;0,00;2;0,013087;0,015625;0,00;UNSAT
