pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
8893;141,552520;136,156250;2,70;15;0,289012;0,281250;1,44;51;10,015507;9,781250;0,00;Prea dificilă
850;0,578127;0,515625;2,96;22;0,340863;0,328125;1,06;2;0,005782;0,000000;0,00;UNSAT
850;38,608338;37,625000;1,83;19;0,498920;0,468750;2,10;2;0,035314;0,000000;0,00;UNSAT
8840;116,688880;111,484375;2,45;22;0,650543;0,578125;3,94;102;10,128078;9,843750;0,00;Prea dificilă
850;45,544836;44,093750;2,82;23;0,431718;0,390625;1,40;2;0,001604;0,000000;0,00;UNSAT
8891;142,390516;136,765625;2,46;16;0,392752;0,359375;2,92;104;10,019250;9,687500;0,00;Prea dificilă
850;24,795578;24,265625;2,39;22;0,467739;0,437500;1,71;2;0,007070;0,000000;0,00;UNSAT
850;0,417364;0,390625;2,54;23;0,537837;0,531250;1,76;2;0,001162;0,000000;0,00;UNSAT
8987;141,030949;134,640625;2,41;18;0,397542;0,375000;2,64;97;10,063126;9,593750;0,00;Prea dificilă
850;0,416392;0,375000;2,73;24;0,798983;0,734375;3,62;2;0,002505;0,000000;0,00;UNSAT
850;18,039907;17,609375;2,81;24;0,477245;0,468750;2,07;2;0,001457;0,015625;0,00;UNSAT
9058;155,514247;150,109375;2,23;30;0,661969;0,609375;3,73;81;10,044098;9,703125;0,00;Prea dificilă
850;4,438772;4,203125;2,09;23;0,407005;0,406250;1,84;2;0,002648;0,015625;0,00;UNSAT
8998;158,769002;152,015625;2,59;16;0,453177;0,437500;3,26;79;10,021369;9,703125;0,00;Prea dificilă
850;0,464628;0,437500;2,88;17;0,326472;0,312500;1,90;2;0,001646;0,000000;0,00;UNSAT
850;30,285116;29,171875;1,98;28;3,139245;2,984375;4,33;2;0,004162;0,000000;0,00;UNSAT
9064;168,539213;163,359375;1,21;24;0,597199;0,531250;0,34;95;10,020641;9,781250;0,00;Prea dificilă
8741;102,298196;97,656250;0,91;28;2,076474;1,703125;1,80;130;10,198034;9,593750;0,00;Prea dificilă
850;73,435190;70,609375;1,41;23;2,074012;1,953125;2,75;2;0,005839;0,000000;0,00;UNSAT
850;0,360756;0,359375;0,01;15;0,424625;0,421875;1,22;2;0,004700;0,000000;0,00;UNSAT
8994;103,840029;99,203125;0,59;21;0,688198;0,625000;1,35;60;10,151474;9,500000;0,00;Prea dificilă
850;24,202170;23,671875;2,39;23;0,430009;0,421875;0,00;2;0,001633;0,000000;0,00;UNSAT
8846;126,689026;120,718750;1,26;23;0,709121;0,703125;5,57;97;10,018021;9,640625;0,00;Prea dificilă
850;37,610125;36,187500;0,12;21;0,674797;0,640625;2,05;2;0,009395;0,000000;0,00;UNSAT
