pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
300;0,095347;0,109375;1,89;338;0,058991;0,015625;0,13;2;0,001421;0,000000;0,00;UNSAT
5833;69,713367;67,140625;3,24;331;0,043544;0,046875;0,04;221;0,046222;0,046875;1,14;SAT
6473;116,047159;112,984375;3,15;341;0,046190;0,031250;0,01;239;0,062057;0,078125;0,96;SAT
300;0,074128;0,078125;1,94;358;0,054992;0,031250;0,04;2;0,000452;0,000000;0,00;UNSAT
6017;89,683646;87,000000;4,17;336;0,041128;0,031250;0,04;209;0,048514;0,046875;0,04;SAT
300;0,054449;0,062500;1,87;342;0,074550;0,062500;0,05;2;0,001356;0,000000;0,00;UNSAT
300;0,115326;0,109375;1,82;327;0,057177;0,062500;0,17;2;0,001278;0,000000;0,00;UNSAT
5594;70,684937;68,156250;3,32;354;0,044594;0,046875;0,25;233;0,053010;0,046875;0,89;SAT
6950;105,557617;102,015625;3,87;340;0,059870;0,046875;0,05;237;0,053549;0,031250;0,21;SAT
5309;56,800829;54,359375;3,61;358;0,046387;0,046875;0,23;234;0,062773;0,062500;0,00;SAT
300;0,034920;0,015625;2,71;351;0,055731;0,031250;0,05;2;0,001185;0,000000;0,00;UNSAT
300;0,114589;0,109375;2,06;354;0,056294;0,046875;0,12;2;0,001070;0,000000;0,00;UNSAT
300;0,078280;0,046875;1,93;336;0,040849;0,031250;0,18;2;0,000882;0,000000;0,00;UNSAT
300;0,025006;0,015625;3,38;362;0,048307;0,046875;0,00;2;0,000935;0,000000;0,00;UNSAT
300;0,056947;0,046875;1,64;330;0,042549;0,046875;0,14;2;0,002208;0,000000;0,00;UNSAT
300;0,104816;0,078125;1,69;364;0,053363;0,046875;0,29;2;0,002379;0,000000;0,00;UNSAT
300;0,114169;0,109375;1,89;330;0,047372;0,015625;0,00;2;0,002076;0,000000;0,00;UNSAT
300;0,221355;0,203125;1,20;356;0,041486;0,046875;0,24;2;0,002945;0,000000;0,00;UNSAT
4898;88,651926;86,203125;2,60;350;0,048962;0,031250;0,03;225;0,051607;0,046875;0,00;SAT
6798;127,780760;123,859375;3,30;351;0,046623;0,046875;0,10;217;0,048383;0,046875;0,00;SAT
300;0,055673;0,046875;0,07;348;0,053814;0,062500;0,07;2;0,001961;0,000000;0,00;UNSAT
300;0,045334;0,031250;2,62;357;0,049942;0,015625;0,00;2;0,001433;0,000000;0,00;UNSAT
300;0,040913;0,031250;1,93;373;0,047777;0,031250;0,06;2;0,000813;0,000000;0,00;UNSAT
6690;124,019491;120,125000;2,17;336;0,058552;0,046875;0,04;218;0,047570;0,046875;0,00;SAT
6975;99,776286;95,812500;2,94;332;0,045731;0,046875;0,04;229;0,049390;0,031250;0,00;SAT
300;0,239887;0,218750;1,02;360;0,041859;0,031250;0,04;2;0,001962;0,000000;0,00;UNSAT
6270;81,357680;78,375000;3,14;345;0,048805;0,046875;0,03;240;0,055373;0,046875;0,18;SAT
300;0,227009;0,234375;0,14;350;0,047369;0,046875;0,11;2;0,001247;0,000000;0,00;UNSAT
