pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
2135;12,176268;10,812500;4,11;292;0,027466;0,031250;0,03;173;0,038393;0,015625;0,00;SAT
2880;39,740865;37,765625;3,08;289;0,030327;0,031250;0,04;172;0,027985;0,031250;0,51;SAT
200;0,022088;0,031250;2,40;293;0,024521;0,000000;0,18;2;0,001894;0,000000;0,00;UNSAT
200;0,017563;0,000000;2,33;291;0,025224;0,015625;0,21;2;0,003852;0,015625;0,00;UNSAT
6745;102,021321;98,468750;4,13;299;0,027604;0,015625;0,07;170;0,022485;0,031250;0,00;SAT
200;0,051101;0,046875;2,68;282;0,021743;0,031250;0,13;2;0,001077;0,000000;0,00;UNSAT
200;0,056278;0,046875;2,73;294;0,031533;0,031250;0,04;2;0,001462;0,000000;0,00;UNSAT
6461;113,637913;109,250000;3,75;299;0,028828;0,015625;0,04;173;0,032489;0,015625;0,00;SAT
1570;6,224698;5,859375;2,65;292;0,046508;0,015625;0,00;167;0,031742;0,015625;0,37;SAT
200;0,015827;0,015625;2,39;290;0,021629;0,015625;0,16;2;0,000564;0,000000;0,00;UNSAT
4423;60,228286;57,625000;1,98;287;0,021664;0,015625;0,04;172;0,019727;0,015625;0,51;SAT
3334;23,555722;23,031250;3,28;299;0,030314;0,015625;0,03;167;0,021983;0,031250;1,29;SAT
1362;5,328017;4,703125;2,06;286;0,025193;0,015625;0,00;165;0,036909;0,046875;2,29;SAT
1828;15,922615;15,312500;4,04;296;0,026115;0,000000;0,03;176;0,021251;0,015625;0,00;SAT
2277;16,681214;16,093750;4,11;280;0,024522;0,000000;0,06;168;0,021373;0,031250;0,00;SAT
200;0,013757;0,000000;2,45;311;0,022044;0,031250;0,04;2;0,000778;0,000000;0,00;UNSAT
5681;117,520905;112,359375;4,04;285;0,024994;0,015625;0,04;176;0,031737;0,015625;0,00;SAT
2019;13,133425;11,718750;2,05;301;0,030679;0,015625;0,03;177;0,018806;0,015625;0,65;SAT
2307;14,556263;13,171875;4,62;302;0,024259;0,031250;0,03;169;0,023319;0,015625;0,00;SAT
200;0,005991;0,000000;0,68;284;0,021069;0,031250;0,00;2;0,000385;0,000000;0,00;UNSAT
1150;3,287052;2,718750;2,70;307;0,038517;0,015625;0,00;165;0,029944;0,015625;0,59;SAT
200;0,020936;0,031250;0,11;297;0,029258;0,015625;0,19;2;0,004534;0,000000;0,00;UNSAT
1005;1,014276;0,875000;0,05;281;0,037812;0,015625;0,00;177;0,030084;0,015625;1,77;SAT
2071;12,543866;11,765625;2,96;287;0,030514;0,015625;0,00;174;0,028037;0,015625;0,31;SAT
4748;64,010551;61,578125;1,33;291;0,024648;0,015625;0,03;170;0,018980;0,015625;0,20;SAT
1064;3,345349;2,812500;1,80;295;0,036002;0,015625;0,00;166;0,039302;0,031250;0,12;SAT
2556;28,480599;27,515625;1,91;302;0,023800;0,015625;0,03;170;0,024107;0,031250;0,20;SAT
200;0,054489;0,031250;0,29;295;0,023952;0,031250;0,00;2;0,012788;0,000000;0,00;UNSAT
200;0,014887;0,000000;0,01;291;0,035455;0,015625;0,00;2;0,002467;0,000000;0,00;UNSAT
2872;27,705306;26,578125;1,83;297;0,025305;0,031250;0,00;175;0,033729;0,000000;0,00;SAT
2540;19,304025;18,625000;2,14;275;0,027170;0,015625;0,00;166;0,025260;0,031250;0,00;SAT
5397;92,564664;89,593750;2,78;288;0,027593;0,015625;0,03;166;0,021565;0,015625;0,41;SAT
200;0,035247;0,031250;0,60;305;0,028286;0,031250;0,00;2;0,000382;0,000000;0,00;UNSAT
2805;22,178922;21,468750;1,69;279;0,023153;0,015625;0,00;178;0,027454;0,000000;0,00;SAT
3450;34,932267;33,625000;1,52;282;0,024210;0,015625;0,00;162;0,017842;0,015625;0,00;SAT
200;0,016277;0,015625;0,54;298;0,023774;0,015625;0,00;2;0,004651;0,000000;0,00;UNSAT
200;0,006432;0,000000;0,00;301;0,026343;0,000000;0,00;2;0,009639;0,000000;0,00;UNSAT
6910;126,793593;121,171875;2,19;300;0,022820;0,015625;0,03;171;0,028125;0,015625;0,00;SAT
200;0,017645;0,015625;0,52;281;0,029109;0,031250;0,00;2;0,006994;0,000000;0,00;UNSAT
200;0,012517;0,015625;0,01;306;0,022705;0,031250;0,00;2;0,003330;0,000000;0,00;UNSAT
4227;42,586069;41,390625;2,20;293;0,036518;0,031250;0,03;164;0,023131;0,015625;0,15;SAT
1107;3,916904;3,750000;2,49;305;0,033129;0,015625;0,00;170;0,026904;0,015625;0,14;SAT
2988;31,610319;30,687500;2,07;295;0,031738;0,031250;0,03;167;0,025756;0,031250;0,03;SAT
200;0,020862;0,015625;0,30;290;0,030678;0,031250;0,00;2;0,004849;0,000000;0,00;UNSAT
