pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
150;0,016145;0,000000;1,72;176;0,013011;0,000000;0,00;2;0,001417;0,000000;0,00;UNSAT
6160;64,268195;62,187500;3,27;195;0,016749;0,000000;0,04;119;0,011471;0,000000;0,57;SAT
8777;206,423376;201,640625;4,28;180;0,015312;0,000000;0,04;124;0,019654;0,015625;0,32;SAT
1268;0,964266;0,937500;2,34;190;0,011455;0,000000;0,00;135;0,010767;0,015625;1,00;SAT
150;0,012578;0,015625;1,81;187;0,013866;0,015625;0,00;2;0,000746;0,000000;0,00;UNSAT
3232;19,330158;18,812500;3,52;198;0,038079;0,015625;0,00;119;0,017830;0,015625;0,25;SAT
1142;0,713251;0,671875;1,24;191;0,011567;0,000000;0,00;117;0,013052;0,000000;0,15;SAT
1093;1,597543;1,500000;2,43;198;0,018203;0,015625;0,00;129;0,025245;0,015625;0,60;SAT
2239;14,006440;13,531250;4,65;207;0,020867;0,000000;0,00;122;0,015182;0,000000;0,21;SAT
150;0,008876;0,015625;1,61;189;0,010682;0,015625;0,00;2;0,000428;0,000000;0,00;UNSAT
9548;321,800178;312,359375;3,53;174;0,023862;0,015625;0,00;121;0,019598;0,015625;0,35;SAT
6669;105,053535;101,421875;4,32;185;0,013708;0,015625;0,00;117;0,019242;0,000000;0,00;SAT
6618;97,152404;93,687500;3,48;190;0,012117;0,015625;0,00;119;0,010422;0,000000;0,45;SAT
4506;43,128639;41,421875;3,58;197;0,010943;0,015625;0,03;123;0,013613;0,015625;0,23;SAT
150;0,008973;0,015625;1,73;184;0,009278;0,015625;0,00;2;0,000626;0,000000;0,00;UNSAT
10257;330,600463;321,875000;3,97;185;0,019087;0,015625;0,00;132;0,022160;0,000000;0,48;SAT
3317;44,781472;43,515625;3,89;187;0,012499;0,015625;0,00;124;0,014594;0,000000;0,05;SAT
1005;0,636551;0,609375;2,22;190;0,027138;0,000000;0,00;114;0,010725;0,015625;0,34;SAT
150;0,007852;0,000000;0,01;206;0,015198;0,000000;0,00;2;0,000267;0,000000;0,00;UNSAT
150;0,011443;0,000000;1,66;190;0,010954;0,015625;0,00;2;0,000686;0,000000;0,00;UNSAT
3998;25,257317;24,359375;4,45;190;0,039526;0,015625;0,00;116;0,025161;0,000000;0,40;SAT
8536;137,439101;134,046875;3,42;195;0,012876;0,000000;0,00;120;0,012340;0,000000;0,33;SAT
12979;706,196164;686,828125;3,68;200;0,020375;0,015625;0,00;116;0,020290;0,000000;0,33;SAT
150;0,015700;0,000000;0,40;196;0,010842;0,015625;0,00;2;0,000381;0,000000;0,00;UNSAT
150;0,019949;0,015625;0,00;193;0,012856;0,015625;0,00;2;0,002002;0,000000;0,00;UNSAT
10101;357,687972;347,875000;1,80;194;0,015452;0,015625;0,00;121;0,020791;0,015625;0,32;SAT
2921;20,035019;19,140625;3,48;199;0,015532;0,015625;0,00;124;0,012793;0,000000;0,00;SAT
150;0,058123;0,031250;0,37;185;0,016702;0,000000;0,00;2;0,006696;0,000000;0,00;UNSAT
150;0,025447;0,015625;0,13;194;0,011745;0,000000;0,00;2;0,003326;0,000000;0,00;UNSAT
150;0,015439;0,000000;0,00;188;0,013006;0,000000;0,00;2;0,001522;0,000000;0,00;UNSAT
150;0,003017;0,000000;0,00;184;0,010793;0,000000;0,00;2;0,004469;0,000000;0,00;UNSAT
4159;39,403459;37,703125;1,39;195;0,013198;0,015625;0,00;113;0,026051;0,000000;0,24;SAT
1090;0,960544;0,828125;0,00;188;0,013795;0,000000;0,00;117;0,013363;0,000000;0,00;SAT
150;0,019630;0,015625;0,20;200;0,017591;0,015625;0,00;2;0,010257;0,000000;0,00;UNSAT
150;0,010914;0,000000;0,12;188;0,015330;0,015625;0,00;2;0,003962;0,000000;0,00;UNSAT
1166;0,978952;0,875000;0,45;189;0,012887;0,015625;0,00;122;0,024551;0,000000;0,52;SAT
1002;0,862917;0,781250;0,00;190;0,020606;0,015625;0,00;121;0,021306;0,000000;0,30;SAT
3743;25,804060;24,765625;1,57;184;0,014730;0,015625;0,00;121;0,012600;0,015625;0,68;SAT
150;0,008343;0,000000;0,05;177;0,019940;0,000000;0,00;2;0,014775;0,000000;0,00;UNSAT
150;0,033007;0,031250;0,05;193;0,016992;0,000000;0,00;2;0,008935;0,000000;0,00;UNSAT
3041;21,175600;20,250000;2,88;184;0,014216;0,015625;0,00;121;0,012653;0,015625;0,00;SAT
1047;0,845201;0,765625;0,00;199;0,016628;0,000000;0,00;125;0,025023;0,000000;0,08;SAT
1097;0,850258;0,828125;0,00;190;0,014493;0,015625;0,00;122;0,038740;0,015625;0,33;SAT
