pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
518;3,627000;3,359375;3,81;56;0,001998;0,000000;0,00;43;0,001168;0,000000;0,08;SAT
161;0,098986;0,078125;1,98;61;0,001814;0,000000;0,00;42;0,001299;0,000000;0,10;SAT
239;0,278804;0,265625;3,77;62;0,003560;0,000000;0,00;38;0,001160;0,015625;0,06;SAT
154;0,091257;0,046875;3,53;67;0,001952;0,000000;0,00;43;0,003168;0,000000;0,00;SAT
1551;5,993037;5,828125;4,43;68;0,003753;0,000000;0,00;40;0,001999;0,000000;0,02;SAT
429;2,087170;1,984375;4,34;60;0,001298;0,000000;0,00;40;0,002426;0,000000;0,06;SAT
1091;3,247300;3,062500;4,23;67;0,002118;0,000000;0,00;44;0,001350;0,000000;0,00;SAT
50;0,005840;0,000000;0,25;63;0,002074;0,000000;0,00;2;0,001743;0,000000;0,00;UNSAT
264;0,382162;0,296875;4,21;63;0,001289;0,000000;0,00;42;0,001021;0,000000;0,07;SAT
144;0,079546;0,078125;2,91;62;0,002680;0,000000;0,00;43;0,001325;0,000000;0,00;SAT
9186;298,840801;282,046875;3,83;66;0,006873;0,000000;0,00;45;0,012993;0,000000;0,00;SAT
861;13,970102;13,484375;2,52;60;0,001184;0,000000;0,00;43;0,001050;0,000000;0,00;SAT
50;0,006638;0,000000;0,02;65;0,005534;0,000000;0,00;2;0,004694;0,000000;0,00;UNSAT
153;0,083343;0,062500;2,78;61;0,001900;0,000000;0,00;41;0,002086;0,000000;0,05;SAT
614;3,576307;3,421875;3,43;63;0,008159;0,000000;0,00;42;0,001772;0,000000;0,00;SAT
50;0,003548;0,000000;0,26;64;0,002778;0,000000;0,00;2;0,004647;0,000000;0,00;UNSAT
153;0,131204;0,109375;1,84;56;0,001492;0,000000;0,00;38;0,001250;0,000000;0,12;SAT
958;18,844216;18,218750;6,59;66;0,001841;0,000000;0,00;41;0,001145;0,000000;0,01;SAT
3163;22,453189;22,062500;4,30;63;0,010947;0,000000;0,00;38;0,003254;0,000000;0,02;SAT
116;0,041391;0,031250;0,02;69;0,001824;0,000000;0,00;45;0,001798;0,000000;0,00;SAT
154;0,091611;0,062500;1,36;67;0,003088;0,000000;0,00;42;0,001472;0,000000;0,00;SAT
377;1,324239;1,250000;2,67;56;0,007112;0,000000;0,00;37;0,003156;0,000000;0,07;SAT
127;0,060649;0,062500;0,34;65;0,001244;0,000000;0,00;40;0,001814;0,000000;0,00;SAT
50;0,000912;0,000000;0,00;66;0,002822;0,000000;0,00;2;0,001162;0,000000;0,00;UNSAT
106;0,044753;0,015625;0,01;68;0,001647;0,000000;0,00;46;0,001208;0,000000;0,00;SAT
3078;31,081263;30,375000;2,11;61;0,001799;0,000000;0,00;41;0,004264;0,000000;0,00;SAT
50;0,000633;0,000000;0,00;68;0,001753;0,015625;0,00;2;0,000255;0,000000;0,00;UNSAT
294;0,532941;0,468750;2,87;56;0,002321;0,000000;0,00;39;0,001996;0,000000;0,00;SAT
1435;1,203986;1,171875;0,12;63;0,004289;0,000000;0,00;41;0,001196;0,000000;0,00;SAT
50;0,000659;0,000000;0,00;61;0,001264;0,015625;0,00;2;0,000421;0,000000;0,00;UNSAT
176;0,095535;0,078125;0,62;54;0,001823;0,000000;0,00;43;0,001036;0,000000;0,00;SAT
210;0,199368;0,171875;0,44;65;0,002842;0,000000;0,00;39;0,008756;0,000000;0,00;SAT
3290;3,386937;3,250000;1,27;62;0,001366;0,000000;0,00;43;0,001197;0,000000;0,14;SAT
1013;0,783857;0,750000;0,00;63;0,001719;0,000000;0,00;46;0,001168;0,000000;0,00;SAT
1114;0,396753;0,359375;0,40;64;0,001459;0,000000;0,00;41;0,008186;0,000000;0,00;SAT
250;0,316060;0,296875;2,09;61;0,002970;0,000000;0,00;40;0,000974;0,000000;0,00;SAT
1390;3,274631;3,109375;2,26;65;0,002561;0,000000;0,00;43;0,001768;0,000000;0,00;SAT
129;0,065398;0,046875;0,24;67;0,002444;0,000000;0,00;41;0,003852;0,000000;0,01;SAT
362;0,865369;0,812500;0,43;62;0,005365;0,000000;0,00;37;0,003548;0,000000;0,00;SAT
2507;5,742910;5,578125;1,85;56;0,007168;0,000000;0,00;40;0,004783;0,000000;0,00;SAT
1355;3,087288;2,953125;2,06;63;0,001794;0,000000;0,00;41;0,000985;0,000000;0,00;SAT
336;0,896241;0,875000;1,82;69;0,006612;0,000000;0,00;42;0,012183;0,000000;0,01;SAT
565;4,664200;4,484375;1,92;57;0,002128;0,000000;0,00;42;0,001086;0,000000;0,00;SAT
177;0,136252;0,109375;1,16;67;0,002276;0,000000;0,00;43;0,001068;0,000000;0,00;SAT
116;0,040284;0,046875;0,31;55;0,004794;0,000000;0,00;40;0,001228;0,000000;0,00;SAT
1824;6,803599;6,593750;0,00;68;0,003099;0,000000;0,00;44;0,001687;0,015625;0,00;SAT
106;0,040161;0,031250;0,27;65;0,004267;0,000000;0,00;42;0,002463;0,000000;0,00;SAT
181;0,152993;0,125000;0,57;62;0,003973;0,000000;0,00;44;0,001093;0,000000;0,00;SAT
224;0,260495;0,250000;0,53;67;0,001401;0,015625;0,00;43;0,001104;0,000000;0,00;SAT
802;14,556869;14,250000;1,56;60;0,004716;0,000000;0,00;40;0,004194;0,000000;0,00;SAT
252;0,303429;0,281250;1,84;60;0,001274;0,000000;0,00;42;0,001101;0,000000;0,06;SAT
181;0,160698;0,140625;0,19;66;0,001412;0,000000;0,00;45;0,002614;0,000000;0,07;SAT
2021;6,122575;5,968750;1,28;63;0,001637;0,000000;0,00;46;0,001302;0,000000;0,02;SAT
194;0,168448;0,171875;1,82;61;0,001290;0,000000;0,00;39;0,001379;0,000000;0,00;SAT
317;0,584865;0,515625;1,51;59;0,008699;0,000000;0,00;41;0,009039;0,000000;0,00;SAT
181;0,112464;0,093750;0,54;59;0,001135;0,000000;0,00;36;0,000901;0,000000;0,00;SAT
190;0,165579;0,156250;0,73;61;0,001311;0,000000;0,00;39;0,002584;0,000000;0,00;SAT
119;0,044348;0,046875;0,02;60;0,001601;0,000000;0,00;41;0,000956;0,000000;0,00;SAT
194;0,179862;0,187500;1,06;59;0,001491;0,000000;0,00;40;0,000981;0,000000;0,00;SAT
1090;3,189006;3,093750;0,00;64;0,003766;0,000000;0,00;41;0,003449;0,000000;0,00;SAT
50;0,001865;0,000000;0,03;60;0,003274;0,000000;0,00;2;0,000313;0,000000;0,00;UNSAT
225;0,273171;0,250000;0,59;62;0,001397;0,000000;0,00;41;0,001135;0,000000;0,00;SAT
713;12,435010;12,171875;2,77;61;0,001225;0,000000;0,00;37;0,000896;0,000000;0,00;SAT
181;0,139355;0,140625;1,80;67;0,001205;0,000000;0,00;44;0,001114;0,000000;0,00;SAT
1277;5,067731;4,906250;1,09;58;0,003640;0,000000;0,00;41;0,000983;0,000000;0,00;SAT
1572;7,291282;7,109375;0,12;65;0,006232;0,000000;0,00;44;0,002259;0,015625;0,00;SAT
8080;97,700866;93,062500;1,15;66;0,002010;0,000000;0,00;45;0,003052;0,000000;0,00;SAT
575;2,813473;2,781250;1,08;63;0,002541;0,000000;0,00;41;0,001136;0,015625;0,01;SAT
5218;17,835518;17,500000;2,07;66;0,014991;0,000000;0,00;42;0,011789;0,000000;0,00;SAT
7566;135,403684;128,171875;2,23;57;0,005149;0,000000;0,00;42;0,012321;0,000000;0,00;SAT
121;0,042433;0,031250;0,22;65;0,004048;0,000000;0,00;41;0,008525;0,000000;0,00;SAT
2700;9,571413;9,328125;0,96;62;0,002159;0,000000;0,00;44;0,002123;0,000000;0,00;SAT
163;0,084760;0,031250;0,00;68;0,001344;0,000000;0,00;39;0,001076;0,000000;0,00;SAT
115;0,036863;0,046875;0,28;59;0,010099;0,000000;0,00;41;0,001435;0,000000;0,00;SAT
1054;0,485104;0,468750;0,00;71;0,003308;0,000000;0,00;43;0,001714;0,000000;0,00;SAT
381;1,075211;1,031250;1,61;66;0,003691;0,000000;0,00;42;0,001743;0,000000;0,06;SAT
142;0,060489;0,062500;0,52;59;0,001232;0,000000;0,00;39;0,003009;0,000000;0,00;SAT
379;1,330801;1,312500;1,37;59;0,009977;0,000000;0,00;43;0,001462;0,000000;0,00;SAT
290;0,749329;0,734375;1,47;58;0,001461;0,000000;0,00;40;0,002592;0,000000;0,00;SAT
171;0,083680;0,078125;0,27;56;0,001387;0,000000;0,00;42;0,000966;0,000000;0,00;SAT
112;0,035424;0,031250;0,00;62;0,002076;0,000000;0,00;43;0,001310;0,000000;0,00;SAT
105;0,043025;0,031250;0,00;62;0,001072;0,000000;0,00;38;0,001022;0,000000;0,00;SAT
6342;70,239017;68,140625;0,00;57;0,003060;0,000000;0,00;43;0,001369;0,000000;0,00;SAT
153;0,072986;0,078125;0,43;61;0,001358;0,000000;0,00;41;0,001712;0,000000;0,00;SAT
1626;10,499846;10,343750;0,54;64;0,011470;0,000000;0,00;41;0,005402;0,000000;0,00;SAT
2296;16,638719;16,218750;0,00;61;0,001363;0,000000;0,00;45;0,001196;0,000000;0,00;SAT
50;0,001570;0,000000;0,03;57;0,001195;0,000000;0,00;2;0,000951;0,000000;0,00;UNSAT
282;0,380697;0,375000;0,75;67;0,008958;0,000000;0,00;40;0,020739;0,000000;0,00;SAT
219;0,223737;0,234375;0,87;58;0,008901;0,000000;0,00;35;0,023732;0,000000;0,00;SAT
119;0,046526;0,046875;0,31;61;0,002427;0,000000;0,00;42;0,001293;0,000000;0,00;SAT
276;0,414603;0,390625;0,93;60;0,001141;0,000000;0,00;40;0,000948;0,000000;0,00;SAT
107;0,033058;0,031250;0,05;63;0,001154;0,000000;0,00;45;0,001075;0,000000;0,00;SAT
1346;2,004631;1,953125;0,63;66;0,001307;0,000000;0,00;47;0,001654;0,000000;0,01;SAT
226;0,241420;0,234375;0,30;66;0,001397;0,000000;0,00;45;0,002460;0,000000;0,00;SAT
139;0,066978;0,062500;0,36;64;0,001215;0,000000;0,00;43;0,000974;0,000000;0,00;SAT
10870;382,008040;361,500000;0,98;61;0,001321;0,000000;0,00;41;0,001210;0,000000;0,00;SAT
1367;3,867058;3,812500;0,32;54;0,003003;0,000000;0,00;41;0,001103;0,000000;0,00;SAT
163;0,114933;0,109375;2,19;59;0,001158;0,000000;0,00;40;0,000879;0,000000;0,00;SAT
417;1,312865;1,296875;1,14;65;0,004431;0,000000;0,00;42;0,003181;0,000000;0,00;SAT
