pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
30;0,001513;0,000000;0,09;31;0,001302;0,000000;0,00;2;0,000828;0,000000;0,01;UNSAT
2835;0,864931;0,734375;1,79;35;0,001155;0,000000;0,00;23;0,001404;0,000000;0,00;SAT
4009;1,511536;1,265625;2,40;41;0,001452;0,000000;0,00;24;0,004386;0,000000;0,01;SAT
3328;1,221791;1,078125;2,62;33;0,004145;0,000000;0,00;25;0,001920;0,000000;0,07;SAT
3235;0,967876;0,921875;2,60;32;0,001149;0,000000;0,00;21;0,000880;0,000000;0,00;SAT
5651;2,779393;2,484375;2,36;36;0,012273;0,000000;0,00;23;0,006474;0,000000;0,00;SAT
2770;0,739763;0,640625;2,63;33;0,018740;0,000000;0,00;20;0,015367;0,000000;0,06;SAT
3192;1,170738;0,953125;2,18;34;0,001391;0,000000;0,00;23;0,001841;0,000000;0,01;SAT
8273;4,977518;4,437500;2,94;40;0,004220;0,000000;0,00;19;0,017313;0,000000;0,00;SAT
3402;1,015744;0,875000;2,74;40;0,023993;0,000000;0,00;22;0,002827;0,000000;0,02;SAT
8659;6,514993;5,750000;2,36;35;0,002847;0,000000;0,00;21;0,001829;0,000000;0,02;SAT
12639;12,861042;11,750000;2,71;35;0,001416;0,000000;0,00;21;0,005647;0,000000;0,01;SAT
30;0,003227;0,000000;0,11;31;0,002651;0,000000;0,00;2;0,000416;0,000000;0,00;UNSAT
10056;10,990384;10,046875;1,65;35;0,007274;0,000000;0,00;21;0,001290;0,000000;0,03;SAT
8287;5,560697;4,875000;0,98;36;0,005130;0,000000;0,00;19;0,002213;0,000000;0,00;SAT
3738;1,011066;0,843750;0,46;34;0,001369;0,015625;0,00;24;0,004434;0,000000;0,03;SAT
30;0,001239;0,000000;0,00;35;0,000981;0,000000;0,00;2;0,001706;0,000000;0,00;UNSAT
1165;0,161493;0,125000;0,00;32;0,000991;0,000000;0,00;22;0,000832;0,015625;0,06;SAT
30;0,002497;0,000000;0,00;31;0,001172;0,000000;0,00;2;0,001994;0,000000;0,00;UNSAT
3426;0,932679;0,875000;0,00;31;0,003256;0,000000;0,00;20;0,000770;0,000000;0,00;SAT
30;0,002613;0,000000;0,00;38;0,001252;0,000000;0,00;2;0,000741;0,000000;0,00;UNSAT
3293;0,932117;0,859375;0,54;36;0,002381;0,000000;0,00;20;0,001903;0,000000;0,00;SAT
30;0,003138;0,000000;0,00;34;0,002184;0,015625;0,00;2;0,000643;0,000000;0,00;UNSAT
2930;0,833992;0,812500;1,18;33;0,001616;0,000000;0,00;20;0,000816;0,000000;0,01;SAT
4140;1,795534;1,484375;0,00;33;0,002136;0,000000;0,00;23;0,008822;0,000000;0,02;SAT
9381;7,909208;7,218750;0,37;33;0,003457;0,000000;0,00;18;0,001253;0,000000;0,02;SAT
5976;2,476990;2,109375;0,00;34;0,001863;0,000000;0,00;21;0,006480;0,000000;0,01;SAT
4705;1,763476;1,578125;0,44;37;0,007607;0,000000;0,00;21;0,001584;0,000000;0,00;SAT
8182;3,943559;3,531250;1,24;36;0,004638;0,000000;0,00;21;0,006796;0,000000;0,01;SAT
5699;2,863347;2,625000;0,00;38;0,001440;0,000000;0,00;21;0,020142;0,000000;0,00;SAT
3272;0,918229;0,828125;0,00;36;0,001180;0,000000;0,00;23;0,008703;0,000000;0,01;SAT
6587;3,106025;2,843750;0,00;33;0,003066;0,000000;0,00;15;0,002305;0,000000;0,01;SAT
9469;7,638973;7,046875;1,45;30;0,002255;0,000000;0,00;17;0,002931;0,000000;0,00;SAT
3345;1,072438;0,859375;0,00;31;0,002857;0,000000;0,00;22;0,001196;0,015625;0,00;SAT
9068;7,095100;6,484375;0,66;33;0,001288;0,000000;0,00;19;0,001008;0,000000;0,00;SAT
6038;2,648829;2,468750;0,00;30;0,001405;0,000000;0,00;23;0,001375;0,000000;0,00;SAT
1792;0,282864;0,250000;0,18;31;0,001125;0,000000;0,00;20;0,001169;0,000000;0,00;SAT
30;0,001047;0,000000;0,00;37;0,001710;0,000000;0,00;2;0,001150;0,000000;0,00;UNSAT
7643;3,701983;3,375000;0,98;40;0,005159;0,000000;0,00;18;0,001769;0,000000;0,00;SAT
5413;2,228152;2,125000;0,06;32;0,001518;0,000000;0,00;22;0,001119;0,000000;0,00;SAT
2902;0,910225;0,687500;0,00;37;0,002877;0,000000;0,00;23;0,001727;0,015625;0,00;SAT
30;0,001778;0,000000;0,00;35;0,001414;0,000000;0,00;2;0,003530;0,000000;0,00;UNSAT
16687;29,051133;26,593750;2,18;34;0,005052;0,000000;0,00;17;0,005791;0,000000;0,02;SAT
30;0,001337;0,000000;0,00;33;0,003266;0,000000;0,00;2;0,001659;0,000000;0,00;UNSAT
9291;6,014277;5,578125;0,50;36;0,004986;0,000000;0,00;22;0,001958;0,015625;0,04;SAT
3304;0,829828;0,750000;0,30;38;0,001395;0,000000;0,00;23;0,003279;0,000000;0,00;SAT
5038;2,511826;2,296875;0,00;34;0,001207;0,000000;0,00;19;0,000980;0,000000;0,00;SAT
4858;1,936207;1,781250;0,04;32;0,004813;0,000000;0,00;18;0,001727;0,000000;0,00;SAT
4044;1,610529;1,406250;0,00;41;0,005743;0,000000;0,00;25;0,001298;0,000000;0,00;SAT
5464;2,612371;2,421875;0,71;36;0,002076;0,000000;0,00;20;0,001036;0,000000;0,00;SAT
4437;1,553208;1,421875;0,40;35;0,001342;0,000000;0,00;22;0,001944;0,015625;0,00;SAT
3820;1,129712;1,046875;0,44;37;0,007917;0,000000;0,00;19;0,003263;0,000000;0,00;SAT
5456;2,305676;2,234375;0,23;33;0,001676;0,000000;0,00;24;0,001031;0,000000;0,00;SAT
2375;0,588187;0,531250;0,00;39;0,003144;0,000000;0,00;21;0,001929;0,000000;0,00;SAT
3404;1,076099;0,921875;0,14;32;0,013538;0,000000;0,00;19;0,039930;0,000000;0,01;SAT
30;0,001686;0,000000;0,00;35;0,001337;0,000000;0,00;2;0,001753;0,000000;0,00;UNSAT
4823;2,065483;1,953125;0,64;35;0,007587;0,000000;0,00;24;0,001916;0,000000;0,02;SAT
9574;7,412133;6,953125;1,07;33;0,001438;0,000000;0,00;21;0,002837;0,000000;0,03;SAT
5359;2,428809;2,265625;0,00;34;0,002910;0,000000;0,00;22;0,001093;0,000000;0,00;SAT
5700;2,573383;2,437500;0,06;33;0,003759;0,000000;0,00;24;0,000731;0,000000;0,00;SAT
3304;0,976207;0,921875;0,00;33;0,003491;0,000000;0,00;19;0,001065;0,000000;0,00;SAT
30;0,001069;0,000000;0,05;32;0,001511;0,000000;0,00;2;0,000612;0,000000;0,00;UNSAT
6820;3,619940;3,406250;0,60;37;0,001276;0,000000;0,00;20;0,001731;0,000000;0,00;SAT
4909;2,030155;1,812500;0,00;30;0,001465;0,000000;0,00;19;0,001185;0,000000;0,00;SAT
6026;2,980754;2,843750;0,68;40;0,025815;0,000000;0,00;20;0,008378;0,000000;0,00;SAT
8776;5,449347;4,937500;0,00;35;0,012192;0,000000;0,00;16;0,031229;0,000000;0,00;SAT
30;0,002082;0,000000;0,00;34;0,001307;0,000000;0,00;2;0,000576;0,000000;0,00;UNSAT
4310;1,459388;1,421875;0,19;35;0,038744;0,000000;0,00;22;0,033171;0,000000;0,07;SAT
2298;0,631980;0,625000;0,46;28;0,001021;0,000000;0,00;24;0,001094;0,000000;0,00;SAT
2936;0,883814;0,765625;0,00;40;0,032899;0,000000;0,00;21;0,034083;0,000000;0,01;SAT
4870;2,812005;2,609375;0,32;31;0,011292;0,000000;0,00;18;0,010281;0,000000;0,00;SAT
5376;2,442508;2,187500;0,00;36;0,003484;0,000000;0,00;23;0,003702;0,000000;0,00;SAT
29;0,002372;0,000000;0,00;31;0,001065;0,000000;0,00;2;0,000783;0,000000;0,00;UNSAT
9365;7,721081;6,984375;0,00;43;0,014120;0,000000;0,00;21;0,009467;0,000000;0,00;SAT
8926;6,761016;6,109375;0,84;32;0,010421;0,000000;0,00;20;0,009626;0,000000;0,01;SAT
2959;0,871542;0,843750;0,00;43;0,004704;0,000000;0,00;19;0,002454;0,000000;0,00;SAT
2569;0,650941;0,640625;0,18;33;0,001094;0,000000;0,00;17;0,004076;0,000000;0,00;SAT
3465;1,166954;1,031250;0,62;38;0,001266;0,000000;0,00;19;0,002518;0,000000;0,00;SAT
2606;0,900938;0,765625;0,00;34;0,003063;0,000000;0,00;21;0,007174;0,000000;0,00;SAT
5556;2,779936;2,421875;0,00;36;0,001997;0,000000;0,00;23;0,001869;0,000000;0,00;SAT
30;0,004158;0,000000;0,00;36;0,002134;0,000000;0,00;2;0,005220;0,000000;0,00;UNSAT
1929;0,358180;0,312500;0,00;30;0,001090;0,000000;0,00;22;0,000950;0,000000;0,00;SAT
6189;3,477690;3,125000;0,16;34;0,004378;0,000000;0,00;22;0,001145;0,000000;0,02;SAT
8111;4,948659;4,390625;0,48;34;0,008772;0,000000;0,00;22;0,002001;0,000000;0,02;SAT
5829;2,678314;2,437500;0,38;34;0,008891;0,000000;0,00;20;0,005386;0,000000;0,02;SAT
4519;1,910094;1,640625;0,20;36;0,015319;0,000000;0,00;21;0,003174;0,000000;0,00;SAT
6375;3,863822;3,328125;0,00;35;0,032766;0,000000;0,00;22;0,014949;0,000000;0,00;SAT
3199;1,091220;1,000000;0,00;34;0,002354;0,000000;0,00;23;0,001747;0,000000;0,00;SAT
8492;4,954389;4,375000;1,73;33;0,010861;0,000000;0,00;22;0,001986;0,000000;0,00;SAT
5765;2,941190;2,609375;0,55;30;0,018502;0,000000;0,00;19;0,002001;0,000000;0,06;SAT
3835;1,203217;1,140625;0,02;40;0,002849;0,000000;0,00;22;0,001153;0,000000;0,03;SAT
8849;6,922646;6,562500;1,11;35;0,015117;0,000000;0,00;20;0,008219;0,000000;0,00;SAT
5872;3,844881;3,406250;0,00;32;0,014168;0,000000;0,00;20;0,011286;0,000000;0,00;SAT
30;0,001002;0,000000;0,00;35;0,001144;0,000000;0,00;2;0,000465;0,000000;0,00;UNSAT
1286;0,280088;0,250000;0,20;35;0,004469;0,000000;0,00;23;0,002429;0,000000;0,01;SAT
30;0,002393;0,000000;0,00;32;0,001115;0,000000;0,00;2;0,000475;0,000000;0,00;UNSAT
4986;2,342741;2,125000;0,00;29;0,009123;0,000000;0,00;20;0,004783;0,000000;0,00;SAT
7990;4,436435;3,671875;0,00;33;0,010991;0,000000;0,00;19;0,010172;0,000000;0,01;SAT
30;0,000748;0,000000;0,01;28;0,001017;0,000000;0,00;2;0,000471;0,000000;0,00;UNSAT
5017;3,069859;2,375000;0,02;33;0,019248;0,000000;0,00;20;0,014593;0,000000;0,06;SAT
4423;1,941408;1,546875;0,00;30;0,011269;0,000000;0,00;17;0,020060;0,000000;0,00;SAT
15992;18,615167;16,062500;1,08;35;0,009685;0,000000;0,00;23;0,016089;0,000000;0,09;SAT
6540;3,602823;3,000000;0,29;26;0,018384;0,000000;0,00;20;0,002875;0,000000;0,00;SAT
4039;1,675404;1,343750;0,00;35;0,013110;0,000000;0,00;18;0,014191;0,000000;0,00;SAT
30;0,003277;0,000000;0,00;34;0,004429;0,000000;0,00;2;0,000706;0,000000;0,00;UNSAT
6790;3,394551;2,687500;0,64;31;0,013789;0,000000;0,00;20;0,011758;0,000000;0,00;SAT
2373;0,842215;0,609375;0,00;36;0,002689;0,000000;0,00;21;0,003058;0,000000;0,00;SAT
1855;0,514365;0,359375;0,22;39;0,009507;0,000000;0,00;16;0,004578;0,000000;0,00;SAT
4277;2,012141;1,859375;0,00;32;0,004669;0,000000;0,00;25;0,017644;0,000000;0,04;SAT
6356;3,438452;2,828125;1,31;34;0,009003;0,000000;0,00;20;0,005950;0,000000;0,00;SAT
30;0,001361;0,000000;0,00;35;0,002708;0,000000;0,00;2;0,016424;0,000000;0,00;UNSAT
2983;1,049847;0,859375;0,32;34;0,012310;0,000000;0,00;21;0,003045;0,000000;0,00;SAT
5006;2,328597;1,937500;0,20;35;0,009942;0,000000;0,00;18;0,002739;0,000000;0,00;SAT
8258;4,980761;4,484375;0,35;36;0,021264;0,000000;0,00;19;0,006114;0,000000;0,00;SAT
9688;7,864636;6,765625;0,92;34;0,002883;0,000000;0,00;20;0,009526;0,015625;0,00;SAT
6792;3,512488;3,062500;0,02;41;0,008945;0,000000;0,00;22;0,009513;0,000000;0,01;SAT
30;0,004025;0,000000;0,00;37;0,011518;0,000000;0,00;2;0,004327;0,000000;0,00;UNSAT
30;0,011775;0,000000;0,00;35;0,015644;0,000000;0,00;2;0,003618;0,000000;0,00;UNSAT
6474;3,254762;2,750000;0,75;41;0,013076;0,000000;0,00;22;0,002805;0,000000;0,00;SAT
2820;0,932568;0,750000;0,00;34;0,006405;0,000000;0,00;25;0,007469;0,000000;0,00;SAT
3638;1,280853;1,140625;0,03;26;0,010630;0,000000;0,00;23;0,002869;0,000000;0,02;SAT
2628;0,893443;0,796875;0,46;36;0,005070;0,000000;0,00;22;0,015121;0,000000;0,00;SAT
30;0,002210;0,000000;0,00;34;0,007703;0,000000;0,00;2;0,007971;0,000000;0,00;UNSAT
17253;34,002740;30,718750;0,86;33;0,003893;0,000000;0,00;18;0,002074;0,000000;0,00;SAT
9147;7,538424;6,671875;0,00;35;0,010549;0,000000;0,00;21;0,007207;0,000000;0,00;SAT
2679;0,863897;0,796875;0,52;36;0,008632;0,000000;0,00;22;0,020730;0,000000;0,00;SAT
30;0,003867;0,000000;0,00;38;0,002577;0,000000;0,00;2;0,001069;0,000000;0,00;UNSAT
30;0,001803;0,000000;0,21;37;0,001277;0,000000;0,00;2;0,000797;0,000000;0,00;UNSAT
4177;1,534530;1,312500;0,00;38;0,007094;0,000000;0,00;21;0,005659;0,000000;0,06;SAT
30;0,004297;0,000000;0,00;33;0,021419;0,000000;0,00;2;0,001748;0,000000;0,00;UNSAT
5115;2,598232;2,234375;0,00;34;0,013652;0,000000;0,00;21;0,014704;0,000000;0,02;SAT
30;0,004846;0,000000;0,01;34;0,008558;0,000000;0,00;2;0,001497;0,000000;0,00;UNSAT
3103;0,974825;0,812500;0,00;36;0,009096;0,000000;0,00;20;0,005652;0,000000;0,06;SAT
1444;0,321236;0,265625;0,00;29;0,004685;0,000000;0,00;19;0,003759;0,000000;0,00;SAT
6613;3,416918;2,953125;0,89;34;0,010310;0,000000;0,00;22;0,008624;0,000000;0,03;SAT
7116;4,574010;4,265625;0,79;34;0,011395;0,000000;0,00;20;0,006242;0,000000;0,02;SAT
30;0,002626;0,000000;0,00;34;0,006453;0,000000;0,00;2;0,003115;0,000000;0,00;UNSAT
11817;12,058723;10,859375;0,48;35;0,005636;0,000000;0,00;22;0,008789;0,000000;0,00;SAT
3995;1,420749;1,140625;0,30;32;0,004252;0,000000;0,00;22;0,005863;0,000000;0,00;SAT
6104;3,906152;3,671875;1,52;42;0,005524;0,015625;0,00;24;0,010255;0,000000;0,00;SAT
7540;5,040668;4,781250;0,00;32;0,017347;0,000000;0,00;18;0,003155;0,000000;0,00;SAT
6424;3,462596;2,937500;0,00;33;0,004568;0,000000;0,00;21;0,007310;0,000000;0,01;SAT
7277;4,000276;3,390625;0,00;41;0,004345;0,000000;0,00;26;0,001402;0,000000;0,00;SAT
7815;3,825456;3,296875;0,00;29;0,001580;0,000000;0,00;19;0,001079;0,000000;0,00;SAT
30;0,001780;0,000000;0,00;34;0,002112;0,000000;0,00;2;0,006800;0,000000;0,00;UNSAT
6516;3,884104;3,328125;0,00;33;0,012684;0,000000;0,00;20;0,013162;0,015625;0,00;SAT
6889;3,923739;3,703125;0,00;35;0,006987;0,000000;0,00;21;0,007175;0,000000;0,00;SAT
5035;2,487843;2,109375;0,00;34;0,003824;0,000000;0,00;20;0,003732;0,000000;0,02;SAT
4205;1,648584;1,375000;0,06;37;0,008611;0,000000;0,00;20;0,004357;0,000000;0,02;SAT
3685;1,180781;1,125000;0,00;37;0,013135;0,000000;0,00;23;0,013466;0,000000;0,00;SAT
30;0,005271;0,015625;0,00;34;0,005324;0,000000;0,00;2;0,006503;0,000000;0,00;UNSAT
7616;4,305283;3,562500;0,10;33;0,004815;0,000000;0,00;22;0,009942;0,000000;0,00;SAT
4645;2,180734;1,656250;0,50;40;0,015035;0,000000;0,00;20;0,010368;0,000000;0,00;SAT
