pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
1622;0,296126;0,250000;1,43;122;0,057443;0,015625;0,05;55;0,026324;0,000000;0,57;SAT
1568;0,216561;0,203125;1,57;111;0,024221;0,000000;0,17;62;0,025552;0,000000;0,98;SAT
1683;0,384332;0,218750;1,41;119;0,022938;0,015625;0,00;58;0,024950;0,000000;0,87;SAT
100;0,040087;0,031250;1,21;124;0,033213;0,031250;0,05;2;0,006857;0,000000;0,00;UNSAT
1618;0,343032;0,234375;1,54;129;0,029171;0,015625;0,05;63;0,023388;0,015625;1,06;SAT
100;0,072455;0,046875;1,09;126;0,035200;0,015625;0,00;2;0,003611;0,000000;0,06;UNSAT
1944;0,387132;0,218750;1,43;130;0,054399;0,015625;0,12;63;0,011734;0,015625;0,73;SAT
1669;0,332524;0,187500;0,78;130;0,018316;0,015625;0,16;68;0,023424;0,031250;1,05;SAT
1763;0,333926;0,218750;0,99;125;0,023197;0,015625;0,19;62;0,021100;0,015625;0,88;SAT
100;0,054117;0,046875;1,20;112;0,042953;0,031250;0,17;2;0,005694;0,000000;0,06;UNSAT
100;0,011202;0,000000;0,00;132;0,027447;0,015625;0,02;2;0,002768;0,000000;0,00;UNSAT
100;0,006449;0,015625;0,72;104;0,026829;0,031250;0,00;2;0,000888;0,000000;0,02;UNSAT
1673;0,386434;0,203125;0,00;132;0,020436;0,015625;0,01;61;0,031570;0,015625;0,90;SAT
1612;0,359963;0,234375;0,36;108;0,020985;0,015625;0,00;56;0,019969;0,015625;0,40;SAT
2007;0,377755;0,281250;0,67;123;0,034800;0,031250;0,18;57;0,010273;0,000000;0,70;SAT
100;0,163600;0,125000;0,00;133;0,039775;0,015625;0,00;2;0,004501;0,000000;0,06;UNSAT
100;0,171665;0,109375;0,00;115;0,033301;0,031250;0,00;2;0,027253;0,000000;0,06;UNSAT
1908;0,337133;0,265625;1,34;119;0,029297;0,031250;0,12;59;0,011677;0,000000;0,40;SAT
1539;0,238558;0,171875;0,00;116;0,029392;0,015625;0,00;58;0,015023;0,015625;0,11;SAT
1540;0,243539;0,218750;0,34;120;0,031925;0,000000;0,01;62;0,027599;0,000000;0,40;SAT
1768;0,231356;0,234375;0,00;111;0,030338;0,015625;0,00;57;0,010108;0,015625;0,20;SAT
1945;0,354810;0,296875;0,45;108;0,020219;0,015625;0,00;58;0,012021;0,000000;0,16;SAT
1826;0,302824;0,234375;0,00;106;0,020345;0,031250;0,00;57;0,012360;0,000000;0,19;SAT
100;0,023994;0,000000;0,15;116;0,020060;0,015625;0,05;2;0,000536;0,000000;0,01;UNSAT
1770;0,299790;0,234375;0,02;107;0,025072;0,015625;0,00;58;0,019699;0,015625;0,17;SAT
1729;0,312963;0,250000;0,00;111;0,018281;0,015625;0,02;63;0,015239;0,015625;0,00;SAT
1787;0,232540;0,218750;0,00;130;0,033011;0,015625;0,00;57;0,013286;0,015625;0,11;SAT
1656;0,246267;0,187500;0,38;126;0,034640;0,015625;0,00;61;0,009884;0,015625;0,49;SAT
100;0,075234;0,046875;0,18;119;0,024298;0,015625;0,05;2;0,004039;0,000000;0,04;UNSAT
1964;0,345536;0,265625;0,14;123;0,024773;0,031250;0,00;55;0,026804;0,000000;0,00;SAT
1872;0,363671;0,234375;0,66;121;0,026496;0,000000;0,00;56;0,021164;0,015625;0,00;SAT
100;0,040971;0,046875;0,00;117;0,030385;0,015625;0,00;2;0,100533;0,000000;0,00;UNSAT
100;0,022418;0,015625;0,00;129;0,025093;0,015625;0,02;2;0,046672;0,000000;0,00;UNSAT
1482;0,217067;0,203125;0,00;123;0,024702;0,015625;0,04;63;0,011821;0,000000;0,00;SAT
1752;0,263199;0,234375;0,00;121;0,058693;0,015625;0,00;62;0,017469;0,015625;0,37;SAT
1804;0,316053;0,218750;0,13;114;0,016611;0,015625;0,00;54;0,007566;0,015625;0,34;SAT
100;0,136425;0,109375;0,19;123;0,023057;0,031250;0,00;2;0,004203;0,000000;0,00;UNSAT
100;0,003500;0,000000;0,21;104;0,023639;0,031250;0,02;2;0,010958;0,000000;0,00;UNSAT
1653;0,298279;0,234375;0,55;114;0,023995;0,031250;0,00;52;0,014411;0,015625;0,01;SAT
1859;0,296319;0,250000;0,29;100;0,021197;0,015625;0,00;62;0,021080;0,015625;0,09;SAT
1784;0,270620;0,218750;0,11;125;0,022677;0,000000;0,00;63;0,009128;0,015625;0,40;SAT
100;0,002431;0,000000;0,21;129;0,058079;0,015625;0,00;2;0,117018;0,000000;0,00;UNSAT
1490;0,268924;0,203125;0,00;128;0,021246;0,015625;0,00;61;0,015248;0,000000;0,00;SAT
1882;0,281681;0,218750;0,00;122;0,018760;0,015625;0,00;56;0,030051;0,000000;0,53;SAT
1829;0,301286;0,250000;0,20;111;0,020192;0,015625;0,00;56;0,011073;0,015625;0,27;SAT
1855;0,328592;0,281250;0,43;113;0,030029;0,015625;0,00;60;0,037819;0,000000;0,42;SAT
100;0,022867;0,000000;0,00;118;0,024701;0,015625;0,01;2;0,005304;0,000000;0,00;UNSAT
100;0,077707;0,078125;0,39;113;0,031818;0,031250;0,04;2;0,011326;0,000000;0,00;UNSAT
1728;0,269010;0,218750;0,00;135;0,030090;0,015625;0,00;59;0,019812;0,015625;0,38;SAT
100;0,003069;0,015625;0,25;107;0,019058;0,015625;0,01;2;0,010064;0,015625;0,00;UNSAT
100;0,005902;0,015625;0,49;124;0,021308;0,015625;0,00;2;0,000719;0,000000;0,01;UNSAT
2152;0,352825;0,328125;0,00;116;0,021581;0,015625;0,05;60;0,028502;0,015625;0,58;SAT
1647;0,287397;0,234375;0,00;97;0,022159;0,015625;0,00;56;0,012872;0,000000;0,38;SAT
1818;0,229850;0,218750;0,36;121;0,026416;0,000000;0,00;56;0,025725;0,015625;0,16;SAT
1506;0,319793;0,218750;0,09;120;0,024632;0,015625;0,05;68;0,015315;0,000000;0,28;SAT
100;0,005728;0,000000;0,41;128;0,020332;0,015625;0,01;2;0,008965;0,000000;0,00;UNSAT
1742;0,318331;0,265625;0,00;126;0,021476;0,015625;0,00;52;0,012712;0,000000;0,13;SAT
1862;0,322585;0,265625;0,14;114;0,032179;0,031250;0,00;58;0,017435;0,000000;0,14;SAT
1680;0,313938;0,218750;0,09;122;0,020536;0,015625;0,00;59;0,008476;0,015625;0,30;SAT
1711;0,317379;0,234375;0,11;124;0,016909;0,015625;0,00;56;0,014693;0,015625;0,04;SAT
1788;0,282093;0,234375;0,00;124;0,048987;0,031250;0,00;57;0,011594;0,000000;0,40;SAT
1793;0,235302;0,203125;0,00;124;0,023823;0,015625;0,00;63;0,011275;0,015625;0,28;SAT
1736;0,254689;0,187500;0,48;111;0,020799;0,031250;0,00;59;0,039643;0,015625;0,00;SAT
1949;0,332127;0,250000;0,26;128;0,026226;0,015625;0,06;60;0,012367;0,015625;0,49;SAT
1696;0,235924;0,234375;0,00;128;0,022652;0,015625;0,11;57;0,015545;0,000000;0,43;SAT
1828;0,256327;0,218750;0,27;117;0,023855;0,015625;0,00;64;0,011262;0,015625;0,39;SAT
100;0,051379;0,062500;0,00;103;0,031549;0,031250;0,00;2;0,020949;0,000000;0,00;UNSAT
100;0,007893;0,000000;0,00;112;0,026352;0,015625;0,00;2;0,004615;0,000000;0,00;UNSAT
1896;0,312319;0,265625;0,54;121;0,025536;0,015625;0,00;57;0,018792;0,000000;0,28;SAT
100;0,014235;0,015625;0,08;131;0,017716;0,015625;0,00;2;0,002628;0,000000;0,00;UNSAT
100;0,171093;0,140625;0,00;118;0,029864;0,031250;0,00;2;0,004029;0,000000;0,00;UNSAT
1840;0,294526;0,250000;0,00;121;0,019044;0,015625;0,00;59;0,009183;0,000000;0,34;SAT
100;0,022313;0,000000;0,00;110;0,026042;0,015625;0,09;2;0,002180;0,000000;0,00;UNSAT
1631;0,265944;0,265625;0,34;122;0,021141;0,000000;0,00;53;0,008311;0,015625;0,14;SAT
1625;0,264214;0,234375;0,00;109;0,023176;0,031250;0,01;62;0,009126;0,000000;0,00;SAT
1769;0,222841;0,203125;0,11;111;0,035041;0,031250;0,00;63;0,011895;0,015625;0,40;SAT
100;0,004838;0,000000;0,20;102;0,023079;0,015625;0,01;2;0,020853;0,000000;0,00;UNSAT
1498;0,217109;0,171875;0,51;130;0,031327;0,031250;0,00;64;0,011673;0,015625;0,52;SAT
1918;0,321431;0,250000;0,35;108;0,019045;0,015625;0,00;58;0,020104;0,000000;0,05;SAT
1762;0,465864;0,234375;0,74;122;0,031532;0,015625;0,02;64;0,018820;0,000000;0,00;SAT
1913;0,331580;0,265625;0,00;104;0,024745;0,015625;0,00;52;0,010092;0,000000;0,27;SAT
1696;0,310812;0,265625;0,00;132;0,024638;0,000000;0,05;64;0,027683;0,015625;0,37;SAT
1751;0,255583;0,218750;0,38;120;0,026019;0,015625;0,00;66;0,029178;0,015625;0,06;SAT
1762;0,257142;0,218750;0,00;133;0,027917;0,000000;0,00;61;0,008861;0,015625;0,32;SAT
100;0,002343;0,000000;0,17;133;0,022255;0,015625;0,00;2;0,006001;0,000000;0,00;UNSAT
100;0,014451;0,000000;0,34;118;0,018236;0,015625;0,02;2;0,008197;0,000000;0,00;UNSAT
100;0,037586;0,046875;0,00;104;0,023931;0,031250;0,01;2;0,001372;0,000000;0,00;UNSAT
100;0,010306;0,015625;0,53;120;0,022138;0,031250;0,01;2;0,001665;0,000000;0,00;UNSAT
1931;0,329751;0,265625;0,00;130;0,024355;0,031250;0,00;56;0,017872;0,015625;0,23;SAT
2002;0,326400;0,265625;0,00;134;0,027678;0,015625;0,00;55;0,010823;0,015625;0,00;SAT
100;0,198162;0,140625;0,00;119;0,031827;0,031250;0,00;2;0,003961;0,000000;0,00;UNSAT
1798;0,298884;0,171875;0,40;129;0,022203;0,000000;0,08;65;0,012783;0,000000;0,00;SAT
1417;0,264039;0,156250;0,52;126;0,016665;0,000000;0,00;59;0,012735;0,015625;0,00;SAT
1589;0,210163;0,203125;0,14;114;0,023736;0,031250;0,08;59;0,020690;0,000000;0,07;SAT
1956;0,262464;0,250000;0,00;119;0,026475;0,015625;0,00;64;0,015583;0,000000;0,00;SAT
100;0,143631;0,078125;0,12;106;0,019097;0,015625;0,00;2;0,029852;0,000000;0,01;UNSAT
100;0,066642;0,062500;0,32;127;0,023282;0,015625;0,00;2;0,012681;0,000000;0,00;UNSAT
100;0,153565;0,093750;0,50;114;0,016516;0,015625;0,00;2;0,002294;0,000000;0,00;UNSAT
1959;0,288433;0,265625;0,12;132;0,025445;0,015625;0,00;58;0,008983;0,015625;0,18;SAT
1851;0,298136;0,265625;0,95;119;0,024050;0,015625;0,00;53;0,007344;0,000000;0,07;SAT
1302;0,214576;0,171875;0,00;119;0,018178;0,015625;0,01;59;0,026208;0,015625;0,31;SAT
1744;0,305342;0,187500;0,18;116;0,025241;0,031250;0,00;59;0,023726;0,015625;0,09;SAT
1368;0,164843;0,171875;0,00;128;0,027100;0,015625;0,18;51;0,041080;0,000000;0,39;SAT
2020;0,314676;0,234375;0,09;108;0,020836;0,031250;0,11;66;0,019843;0,015625;0,05;SAT
100;0,079670;0,046875;0,00;124;0,034021;0,031250;0,01;2;0,003964;0,000000;0,00;UNSAT
1717;0,262331;0,203125;0,03;130;0,026502;0,015625;0,00;59;0,018818;0,015625;0,43;SAT
100;0,013815;0,000000;0,20;120;0,030822;0,000000;0,00;2;0,046731;0,000000;0,00;UNSAT
1872;0,347126;0,281250;0,00;115;0,022680;0,015625;0,16;58;0,016837;0,000000;0,00;SAT
1839;0,244384;0,203125;0,12;101;0,021531;0,015625;0,00;56;0,029365;0,015625;0,29;SAT
1682;0,273313;0,250000;0,00;136;0,025168;0,031250;0,00;59;0,013442;0,000000;0,23;SAT
1830;0,291310;0,218750;0,41;123;0,023529;0,015625;0,00;58;0,014235;0,000000;0,53;SAT
1771;0,216444;0,203125;0,00;117;0,019668;0,015625;0,00;58;0,036989;0,000000;0,38;SAT
1563;0,210587;0,187500;0,66;127;0,024796;0,015625;0,00;64;0,019934;0,015625;0,04;SAT
100;0,007079;0,000000;0,18;124;0,036784;0,015625;0,00;2;0,003413;0,000000;0,00;UNSAT
1684;0,307675;0,250000;0,00;128;0,023879;0,015625;0,00;57;0,007872;0,000000;0,29;SAT
100;0,040463;0,046875;0,00;116;0,039020;0,015625;0,12;2;0,002407;0,000000;0,00;UNSAT
1772;0,292115;0,218750;0,00;124;0,069267;0,031250;0,00;58;0,035109;0,000000;0,19;SAT
1693;0,270981;0,234375;0,16;134;0,046264;0,015625;0,00;59;0,041756;0,000000;0,21;SAT
1922;0,307284;0,250000;0,24;122;0,022435;0,015625;0,00;59;0,012029;0,000000;0,02;SAT
1766;0,234844;0,218750;0,15;125;0,024258;0,015625;0,00;59;0,023179;0,015625;0,20;SAT
100;0,010137;0,015625;0,00;108;0,019934;0,015625;0,00;2;0,019882;0,000000;0,06;UNSAT
1688;0,221416;0,203125;0,32;111;0,022149;0,031250;0,00;58;0,008826;0,000000;0,36;SAT
1590;0,275515;0,234375;0,25;117;0,028876;0,015625;0,00;59;0,038046;0,000000;0,02;SAT
1454;0,286422;0,187500;0,16;116;0,021793;0,015625;0,00;64;0,033328;0,015625;0,00;SAT
100;0,216978;0,203125;0,27;121;0,026495;0,000000;0,06;2;0,001260;0,000000;0,00;UNSAT
1784;0,300625;0,218750;0,00;134;0,063061;0,015625;0,00;62;0,049399;0,015625;0,25;SAT
1853;0,268044;0,234375;0,09;101;0,023205;0,031250;0,00;54;0,031344;0,015625;0,19;SAT
1702;0,230179;0,234375;0,00;122;0,027479;0,015625;0,00;62;0,013828;0,015625;0,31;SAT
1691;0,318824;0,203125;0,00;135;0,046646;0,031250;0,00;61;0,014061;0,015625;0,46;SAT
1534;0,211647;0,218750;0,14;122;0,033789;0,015625;0,05;61;0,041039;0,015625;0,12;SAT
1836;0,419995;0,265625;0,05;131;0,027784;0,015625;0,00;61;0,021747;0,000000;0,36;SAT
1741;0,336031;0,234375;0,00;114;0,026100;0,015625;0,00;55;0,010719;0,015625;0,17;SAT
1963;0,386858;0,281250;0,63;102;0,025994;0,015625;0,00;57;0,017034;0,000000;0,00;SAT
1881;0,418708;0,312500;0,15;126;0,032122;0,031250;0,00;55;0,012169;0,000000;0,42;SAT
1813;0,374852;0,312500;0,14;120;0,018190;0,031250;0,00;63;0,017291;0,015625;0,34;SAT
1864;0,320751;0,218750;0,00;117;0,022843;0,015625;0,00;54;0,011159;0,000000;0,24;SAT
100;0,061937;0,015625;0,22;125;0,037460;0,015625;0,00;2;0,044920;0,000000;0,00;UNSAT
1781;0,287806;0,187500;0,49;127;0,026783;0,031250;0,00;58;0,019966;0,015625;0,02;SAT
1864;0,342205;0,156250;0,66;123;0,031222;0,015625;0,00;63;0,018839;0,015625;0,20;SAT
1981;0,389750;0,296875;0,38;132;0,021815;0,031250;0,00;56;0,021374;0,015625;0,16;SAT
